extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
1.0,1.0,3017.14,1707.26,1.2,1249.0,-0.0279999999999999,0.011,5.0,0.039,1.0,253007.5,505.32,2.95e-09,7.030000000000001e-12,21.325,21.861,0.003,1.66,420.0,-0.062,0.016,0.039,0.0,1890000.0,1507.22,1.69e-08,1.43e-11,19.433,19.423,0.001,0.99,1175.8,-0.017,0.009,0.04,0.0
1.0,1.0,3896.11,666.89,1.49,1124.8,0.006,0.015,5.0,0.038,1.0,239505.3,525.32,2.8000000000000003e-09,6.65e-12,21.383000000000003,21.873,0.003,1.97,421.3,-0.0289999999999999,0.022,0.0289999999999999,0.0,1450000.0,1457.43,1.29e-08,1.24e-11,19.722,19.711,0.001,1.31,1042.3,0.018,0.013,0.0409999999999999,0.0
1.0,1.0,3903.12,679.45,1.5,887.0,-0.006,0.016,25.0,0.037,1.0,107608.1,499.66,1.26e-09,4.55e-12,22.251,22.819000000000003,0.004,1.96,276.7,-0.0409999999999999,0.0279999999999999,0.0289999999999999,0.0,950768.8,1354.58,8.48e-09,1.01e-11,20.179,20.168,0.001,1.33,842.3,0.005,0.011,0.04,0.0
1.0,1.0,2804.25,1039.9,1.7,377.4,-0.03,0.032,10.0,0.013,1.0,63064.6,473.03,7.37e-10,3.53e-12,22.831,23.035,0.005,2.02,209.2,-0.053,0.011,0.008,0.0,153359.9,1125.99,1.3699999999999996e-09,4.36e-12,22.159,22.152,0.003,1.57,313.9,-0.022,0.039,0.015,0.0
1.0,1.0,1180.85,1717.65,2.04,101.8,0.348,0.238,20.0,0.004,1.0,178.9,433.1,2.09e-12,1.04e-12,29.197,29.875,0.5379999999999999,0.95,2.0,-0.575,0.489,0.013,0.0,4092.7,1008.42,3.81e-11,1.8000000000000002e-12,26.048,26.035,0.054,1.6,20.2,0.422,0.2189999999999999,0.018,0.0
1.0,1.0,3108.23,867.99,3.34,75.9,0.373,0.152,5.0,0.001,1.0,182.7,461.9,2.1e-12,1.02e-12,29.197,29.845,0.517,1.33,2.1,-0.411,-0.6659999999999999,0.001,0.0,2894.9,1080.46,2.56e-11,1.43e-12,26.479,26.466,0.06,2.36,18.1,0.433,0.212,0.018,0.0
1.0,1.0,480.05,281.09,1.3,143.5,0.016,0.022,35.0,0.032,1.0,15320.5,439.02,1.79e-10,2.02e-12,24.368,24.462,0.012,1.29,88.5,-0.004,0.033,0.04,0.0,29070.2,1033.09,2.59e-10,2.3e-12,23.966,23.959,0.01,1.3,112.8,0.023,0.018,0.0289999999999999,0.0
1.0,1.0,1281.11,1816.06,1.37,129.3,-0.022,0.0139999999999999,55.0,0.022,1.0,12722.3,439.24,1.49e-10,1.91e-12,24.569000000000003,24.7,0.0139999999999999,1.66,77.7,-0.075,0.018,0.02,0.0,26096.9,1021.09,2.33e-10,2.26e-12,24.083,24.076,0.011,1.26,103.1,-0.001,0.013,0.023,0.0
1.0,1.0,3315.07,2021.49,2.46,58.9,0.127,0.216,20.0,0.1,1.0,14382.4,416.03,1.71e-10,2.94e-12,24.42,24.542,0.019,4.47,58.0,0.183,0.4039999999999999,0.11,0.0,2228.3,1030.81,2.02e-11,1.94e-12,26.735,26.733,0.104,1.2,10.4,0.035,-0.075,0.081,0.0
1.0,1.0,1321.98,637.77,1.24,119.3,0.002,0.0279999999999999,100.0,0.024,1.0,5791.1,446.55,6.759999999999999e-11,1.5400000000000001e-12,25.425,25.865,0.025,1.28,44.1,-0.01,0.079,0.03,0.0,28624.5,1050.31,2.55e-10,2.31e-12,23.982,23.972,0.01,1.21,110.8,0.005,0.015,0.023,0.0
1.0,1.0,1049.97,968.98,1.87,114.8,-0.105,0.08,120.0,0.162,1.0,9128.2,447.32,1.0699999999999999e-10,1.76e-12,24.93,25.171,0.018,1.57,60.5,-0.066,0.052,0.149,0.0,24395.1,1056.76,2.18e-10,2.23e-12,24.156,24.148000000000003,0.011,1.96,97.4,-0.119,0.09,0.166,0.0
1.0,1.0,3680.93,2039.65,4.66,57.1,0.057,0.181,85.0,0.035,1.0,4512.1,448.93,5.3499999999999996e-11,2.04e-12,25.679,25.629,0.0409999999999999,7.77,26.2,-0.181,-0.036,0.059,0.0,4360.2,1042.23,3.86e-11,2.16e-12,26.033,26.028,0.059,2.02,18.4,0.2019999999999999,0.327,0.4029999999999999,0.0
1.0,1.0,2468.33,216.34,2.38,100.5,-0.121,0.059,155.0,0.1989999999999999,1.0,5999.3,482.31,7.01e-11,1.51e-12,25.386,25.747,0.023,2.25,46.5,-0.0969999999999999,0.033,0.127,0.0,22598.4,1189.65,2.02e-10,2.27e-12,24.238000000000003,24.229,0.012,2.47,88.9,-0.13,0.068,0.2239999999999999,0.0
1.0,1.0,1355.67,2032.03,3.84,38.8,-0.011,0.607,30.0,0.18,1.0,9560.5,721.62,1.13e-10,2.96e-12,24.864,25.011,0.0279999999999999,7.34,38.4,0.142,-0.31,0.176,0.0,1322.0,1448.97,1.2e-11,2.26e-12,27.298,27.297,0.205,1.6,5.3,-0.386,2.818,0.217,0.0
1.0,1.0,1642.81,757.72,2.1,50.1,0.102,0.247,30.0,0.054,1.0,348.3,445.99,4.05e-12,1.01e-12,28.481,28.914,0.2689999999999999,1.24,4.0,-0.147,-0.355,0.022,0.0,1710.1,1052.96,1.49e-11,1.45e-12,27.064,27.054,0.103,1.64,10.6,0.147,0.466,0.294,0.0
1.0,1.0,1523.38,1862.13,1.06,91.5,-0.0069999999999999,0.009,130.0,0.059,1.0,3660.0,438.51,4.2700000000000005e-11,1.38e-12,25.923,26.398000000000003,0.035,1.11,30.9,-0.037,0.043,0.121,0.0,20699.5,1039.72,1.8499999999999998e-10,2.15e-12,24.334,24.324,0.013,1.04,86.0,0.001,0.0,0.045,0.0
1.0,1.0,519.86,331.04,2.14,92.6,-0.131,0.052,155.0,0.165,1.0,8332.4,445.46,9.72e-11,1.78e-12,25.031,25.154,0.02,2.26,54.8,-0.125,0.021,0.123,0.0,16759.7,1048.68,1.5e-10,2.01e-12,24.563,24.556,0.015,2.09,74.6,-0.133,0.063,0.182,0.0
1.0,1.0,55.28,2037.24,6.1,38.7,0.206,0.326,85.0,0.045,1.0,8090.4,406.11,9.599999999999999e-11,2.55e-12,25.045,25.201,0.0289999999999999,3.67,37.6,0.3229999999999999,0.1989999999999999,0.001,0.0,1093.6,954.46,9.85e-12,1.98e-12,27.517,27.515,0.217,6.31,5.0,-0.094,0.629,0.474,0.0
1.0,1.0,2573.67,2008.28,4.73,35.8,0.24,0.367,135.0,0.031,1.0,377.6,428.0,4.48e-12,1.38e-12,28.372,28.916,0.3329999999999999,1.38,3.3,-0.423,-0.585,0.051,0.0,2944.1,1008.87,2.66e-11,2.01e-12,26.439,26.428,0.0819999999999999,3.62,13.3,0.341,0.502,0.031,0.0
1.0,1.0,3686.37,233.81,2.17,77.3,-0.103,0.2189999999999999,145.0,0.281,1.0,5848.8,491.32,6.83e-11,1.56e-12,25.413,25.621,0.025,2.21,43.8,-0.086,0.146,0.21,0.0,14339.1,1157.55,1.28e-10,2.15e-12,24.73,24.722,0.018,2.18,59.7,-0.11,0.253,0.298,0.0
1.0,1.0,2212.51,1995.92,7.2,40.8,0.111,0.252,140.0,0.075,1.0,284.9,431.99,3.38e-12,1.49e-12,28.678,29.342,0.48,1.25,2.3,-0.136,2.13,0.031,0.0,5548.7,1008.06,4.96e-11,2.23e-12,25.762,25.749,0.048,6.9,22.7,0.129,0.128,0.02,0.0
1.0,1.0,2616.13,894.48,1.32,32.4,0.066,0.114,135.0,0.011,1.0,165.0,456.99,1.96e-12,9.57e-13,29.267,29.734,0.539,1.47,2.0,-0.382,0.444,0.032,0.0,910.8,1072.14,8.25e-12,1.36e-12,27.709,27.699,0.182,1.17,6.0,0.148,0.057,0.0,0.0
1.0,1.0,1998.16,852.78,2.02,34.0,0.385,0.591,140.0,0.039,1.0,584.7,461.08,6.730000000000001e-12,1.6200000000000004e-12,27.93,28.207,0.262,1.14,4.1,-0.2769999999999999,0.374,0.006,0.0,1722.8,1054.79,1.51e-11,1.46e-12,27.051,27.043000000000003,0.102,1.69,10.6,0.486,0.345,0.054,0.0
1.0,1.0,3748.11,210.96,2.53,39.6,0.145,0.457,85.0,0.045,1.0,316.9,468.92,3.68e-12,1.07e-12,28.585,29.124,0.314,1.18,3.5,-0.293,-0.5529999999999999,0.069,0.0,2409.5,1104.51,2.14e-11,1.39e-12,26.672,26.661,0.07,2.11,15.5,0.196,0.575,0.119,0.0
1.0,1.0,2071.12,640.07,1.13,71.2,-0.044,0.042,10.0,0.125,1.0,3896.4,457.26,4.55e-11,1.36e-12,25.855,26.173,0.032,0.99,33.6,-0.019,0.067,0.12,0.0,12880.1,1082.15,1.15e-10,1.84e-12,24.85,24.841,0.017,1.17,62.6,-0.052,0.032,0.131,0.0
1.0,1.0,1740.58,2000.55,5.47,31.6,0.237,0.264,155.0,0.053,1.0,866.3,420.38,1.03e-11,1.49e-12,27.471,27.842,0.158,8.09,6.9,-0.153,0.461,0.034,0.0,3296.8,998.89,3.06e-11,2.08e-12,26.287,26.278,0.076,3.12,14.3,0.362,0.2019999999999999,0.078,0.0
