e,c,x,y,Chi,SN,Sharp,Round,MA,Crowd,T,Counts,Bkgrd,inst_vega_mag1,m_V,mag1_err,Chi.1,SN.1,Sharp.1,Round.1,Crowd.1,FWHM,Ellip,PSFa,PSFb,PSFc,Eflag,Counts.1,Bkgrd.1,inst_vega_mag2,m_I,mag2_err,Chi.2,SN.2,Sharp.2,Round.2,Crowd.2,FWHM.1,Ellip.1,PSFa.1,PSFb.1,PSFc.1,Eflag.1
0.0,1.0,3179.21,2988.18,1.69,1375.7,0.003,0.047,85.0,0.012,1.0,2740000.0,2685.96,21.153,21.638,0.001,1.58,825.1,0.001,0.016,0.011,1.0,0.0,1.0,1.0,0.0,6.0,4080000.0,1419.05,19.516,19.506,0.001,1.81,1100.6,0.005,0.082,0.013,1.0,0.0,1.0,1.0,0.0,4.0
0.0,1.0,2581.13,1202.77,1.75,1338.4,0.018,0.016,95.0,0.008,1.0,3590000.0,2956.41,20.844,21.053,0.001,2.49,839.3,0.037,0.046,0.006,1.0,0.0,1.0,1.0,0.0,4.0,2240000.0,1562.72,20.159,20.152,0.001,1.08,966.5,0.013,-0.001,0.009,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,698.94,2408.11,1.7,1383.8,0.025,0.021,80.0,0.029,1.0,2120000.0,2468.55,21.429,21.881,0.001,1.64,927.0,0.028,0.023,0.022,1.0,0.0,1.0,1.0,0.0,0.0,2770000.0,1322.11,19.938,19.928,0.001,1.78,1027.3,0.021,0.018,0.037,1.0,0.0,1.0,1.0,0.0,4.0
0.0,1.0,1378.71,3158.24,1.52,1082.2,0.014,0.014,45.0,0.024,1.0,956040.0,2433.52,22.29,22.888,0.003,1.77,411.6,0.013,0.009,0.022,1.0,0.0,1.0,1.0,0.0,0.0,2580000.0,1333.94,20.012,20.0,0.001,1.3,822.6,0.004,0.014,0.023,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1795.87,3507.58,1.52,1200.2,0.019,0.015,25.0,0.016,1.0,1800000.0,2634.77,21.605,21.982,0.001,1.75,845.7,0.024,0.012,0.011,1.0,0.0,1.0,1.0,0.0,0.0,1800000.0,1425.99,20.404,20.395,0.001,1.15,851.5,0.013,0.019,0.024,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1651.67,3222.36,1.47,988.0,0.003,0.014,55.0,0.028,1.0,882479.8,2500.85,22.382,22.908,0.002,1.64,578.2,0.005,0.02,0.025,1.0,0.0,1.0,1.0,0.0,0.0,1590000.0,1353.0,20.542,20.531,0.001,1.23,801.1,-0.0,0.006,0.033,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,339.95,1339.34,2.23,972.0,0.03,0.032,100.0,0.01,1.0,737656.9,2668.13,22.566,23.136,0.002,2.7,511.7,0.035,0.039,0.006,1.0,0.0,1.0,1.0,0.0,2.0,1670000.0,1446.85,20.475,20.464,0.001,1.54,826.4,0.025,0.023,0.016,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,927.64,3560.97,1.38,977.0,0.021,0.008,65.0,0.006,1.0,1640000.0,2557.06,21.711,21.842,0.001,1.55,786.4,0.028,0.012,0.004,1.0,0.0,1.0,1.0,0.0,2.0,845663.4,1369.64,21.224,21.217,0.002,1.12,579.7,0.012,0.003,0.008,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,282.21,1404.0,2.02,908.5,0.046,0.044,105.0,0.025,1.0,654052.1,2635.65,22.696,23.275,0.002,2.12,439.6,0.049,0.051,0.021,1.0,0.0,1.0,1.0,0.0,2.0,1570000.0,1418.82,20.544,20.532,0.001,1.91,795.0,0.043,0.037,0.029,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2518.24,3478.97,1.34,915.7,0.011,0.011,40.0,0.02,1.0,570907.8,2675.22,22.855,23.469,0.002,1.58,437.8,0.015,0.012,0.012,1.0,0.0,1.0,1.0,0.0,2.0,1720000.0,1399.24,20.452,20.44,0.001,1.0,804.2,0.005,0.009,0.029,1.0,0.0,1.0,1.0,0.0,2.0
