extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,3275.54,2803.8,1.18,1470.6,0.019,0.013,80.0,0.0,1.0,1970000.0,840.14,9.74e-09,1.19e-11,20.029,19.953,0.001,1.25,816.5,0.021,0.019,0.0,0.0,4490000.0,2188.04,2.69e-08,2.2e-11,18.924,18.916,0.001,1.1,1222.7,0.018,0.008,0.0,0.0
0.0,1.0,3817.98,3229.51,1.24,1253.1,0.007,0.01,75.0,0.0,1.0,458626.6,601.21,2.28e-09,5.41e-12,21.607,21.464,0.003,1.48,420.6,0.013,0.011,0.0,0.0,3520000.0,1834.96,2.11e-08,1.79e-11,19.188,19.177,0.001,0.95,1180.1,0.001,0.01,0.0,0.0
0.0,1.0,6697.76,6612.57,7.37,322.6,-0.063,0.144,20.0,0.0,1.0,81919.1,442.55,4.12e-10,6.15e-12,23.463,23.271,0.016,9.93,67.0,-0.127,0.289,0.0,0.0,1530000.0,1213.1,9.14e-09,2.92e-11,20.097,20.085,0.003,5.4,312.7,-0.007,0.019,0.0,0.0
0.0,1.0,6185.58,2116.39,1.39,336.8,-0.016,0.038,135.0,0.004,1.0,568074.8,612.12,2.84e-09,1.47e-11,21.368,21.297,0.006,1.43,192.8,-0.03,0.022,0.004,0.0,1210000.0,1280.77,7.23e-09,2.62e-11,20.353,20.345,0.004,1.36,276.0,-0.002,0.055,0.005,0.0
0.0,1.0,4459.33,6157.57,1.04,297.3,0.014,0.023,30.0,0.0,1.0,526356.8,497.1,2.67e-09,1.48e-11,21.433,21.375,0.006,1.18,180.4,0.017,0.027,0.0,0.0,884834.6,954.6,5.31e-09,2.25e-11,20.687,20.68,0.005,0.89,236.3,0.01,0.019,0.001,0.0
0.0,1.0,1298.27,2442.41,1.38,394.5,0.046,0.04,90.0,0.0,1.0,406904.7,666.42,2e-09,8.83e-12,21.745,21.675,0.005,1.53,227.0,0.065,0.048,0.0,0.0,835361.4,1263.09,5.03e-09,1.56e-11,20.746,20.738,0.003,1.2,322.7,0.028,0.031,0.001,0.0
0.0,1.0,1749.74,2299.16,1.45,496.0,0.017,0.03,85.0,0.0,1.0,257156.5,585.76,1.26e-09,5.04e-12,22.248,22.159,0.004,1.74,250.2,0.02,0.04,0.0,0.0,746959.2,1154.89,4.48e-09,1.05e-11,20.873,20.864,0.003,0.97,428.0,0.013,0.02,0.0,0.0
0.0,1.0,3209.74,6488.15,1.46,244.8,-0.021,0.067,105.0,0.001,1.0,160949.2,411.58,8.16e-10,8.43e-12,22.72,22.6,0.011,1.51,96.9,-0.019,0.095,0.0,0.0,830290.4,926.83,4.98e-09,2.22e-11,20.757,20.747,0.005,1.45,224.8,-0.023,0.04,0.003,0.0
0.0,1.0,4484.15,2549.97,1.26,390.2,-0.002,0.02,100.0,0.0,1.0,25106.3,536.92,1.24e-10,1.8e-12,24.763,24.568,0.016,1.2,69.1,0.014,0.028,0.001,0.0,484023.5,1096.6,2.9e-09,7.55e-12,21.344,21.331,0.003,1.29,383.9,-0.013,0.015,0.0,0.0
0.0,1.0,3629.39,3048.13,1.14,367.9,0.017,0.015,85.0,0.0,1.0,47352.4,501.06,2.34e-10,2.05e-12,24.075,23.933,0.01,1.28,114.1,0.033,0.019,0.0,0.0,350596.0,997.92,2.1e-09,6.02e-12,21.693,21.682,0.003,0.98,349.5,0.004,0.012,0.0,0.0
0.0,1.0,3137.18,1679.29,1.31,255.0,-0.007,0.025,15.0,0.0,1.0,62320.3,577.85,3.07e-10,3.16e-12,23.781,23.66,0.011,1.6,97.2,0.001,0.044,0.0,0.0,315553.4,1142.11,1.88e-09,8e-12,21.812,21.803,0.005,0.85,235.6,-0.013,0.008,0.001,0.0
0.0,1.0,3822.16,6790.58,1.74,147.0,-0.005,0.023,40.0,0.001,1.0,72717.9,396.07,3.69e-10,5.98e-12,23.581,23.472,0.018,1.88,61.7,-0.012,0.028,0.001,0.0,307793.6,790.57,1.85e-09,1.38e-11,21.834,21.825,0.008,1.6,133.3,0.002,0.019,0.001,0.0
0.0,1.0,1281.05,4236.09,1.42,127.1,0.056,0.05,15.0,0.007,1.0,25192.6,521.49,1.25e-10,4.12e-12,24.755,24.592,0.036,1.73,30.4,0.076,0.101,0.007,0.0,272305.0,951.09,1.65e-09,1.34e-11,21.957,21.946,0.009,1.03,123.4,0.042,0.017,0.007,0.0
0.0,1.0,6295.88,5259.42,1.15,165.1,-0.003,0.087,115.0,0.0,1.0,46817.5,457.14,2.38e-10,4.12e-12,24.061,23.932,0.019,1.26,57.7,-0.005,0.164,0.0,0.0,275510.8,899.63,1.69e-09,1.09e-11,21.933,21.923,0.007,1.03,154.7,-0.003,0.024,0.0,0.0
