extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,1841.01,2107.02,6.95,38.7,0.324,0.745,90.0,0.139,1.0,537.8,190.91,8.6e-12,2.63e-12,27.664,28.356,0.332,1.64,3.3,-0.332,-0.335,0.04,0.0,11373.1,133.75,3.3e-10,8.54e-12,23.705,23.69,0.028,9.27,38.6,0.404,0.913,0.151,0.0
0.0,1.0,280.49,2117.46,2.84,35.0,0.306,0.153,45.0,0.002,1.0,369.9,185.15,5.52e-12,1.54e-12,28.145,28.818,0.303,1.94,3.6,-0.598,0.311,0.005,0.0,11582.9,144.81,3.5e-10,1e-11,23.641,23.625,0.031,4.67,34.9,0.57,0.108,0.001,0.0
0.0,1.0,1082.2,345.84,2.11,38.5,0.223,0.404,55.0,0.038,1.0,2194.9,195.13,3.07e-11,1.9e-12,26.282,26.218,0.067,1.76,16.1,0.412,-0.006,0.007,0.0,492.1,154.24,1.43e-11,2.72e-12,27.111,27.107,0.207,1.21,5.2,-0.139,1.334,0.098,0.0
0.0,1.0,802.88,2065.83,4.25,32.6,0.191,0.513,20.0,0.008,1.0,425.2,186.44,6.8e-12,2.15e-12,27.919,28.612,0.343,1.31,3.2,-0.208,0.346,0.023,0.0,8543.3,140.71,2.48e-10,7.63e-12,24.016,24.001,0.033,5.96,32.4,0.252,0.546,0.006,0.0
0.0,1.0,1180.41,2083.36,3.3,34.6,0.178,0.047,135.0,0.013,1.0,9804.2,179.42,1.57e-10,4.65e-12,24.512,24.523,0.032,4.18,33.7,0.453,0.121,0.019,0.0,1129.4,139.42,3.27e-11,4.23e-12,26.213,26.21,0.14,2.27,7.7,-0.303,-0.12,0.002,0.0
0.0,1.0,983.63,1177.64,1.29,45.5,0.034,0.094,155.0,0.129,1.0,9758.0,203.4,1.43e-10,4.16e-12,24.609,24.559,0.031,1.1,34.5,-0.016,0.079,0.094,0.0,3548.4,155.65,1.03e-10,4.2e-12,24.965,24.96,0.044,1.32,24.6,0.052,0.124,0.129,0.0
0.0,1.0,808.13,625.05,1.05,44.7,0.041,0.056,155.0,0.03,1.0,9733.2,195.15,1.43e-10,4.51e-12,24.612,24.591,0.034,1.14,31.7,0.01,0.161,0.059,0.0,4465.8,157.34,1.3e-10,4.36e-12,24.715,24.709,0.036,1.02,29.8,0.06,-0.007,0.008,0.0
0.0,1.0,3131.14,473.76,1.31,45.7,0.018,0.054,75.0,0.009,1.0,6507.9,202.27,1.04e-10,3.72e-12,24.957,25.095,0.039,1.94,27.9,0.027,0.146,0.0,0.0,5698.5,153.33,1.66e-10,4.66e-12,24.451,24.443,0.03,0.89,35.6,0.028,0.017,0.009,0.0
0.0,1.0,1908.56,1914.54,1.3,39.8,0.048,0.031,120.0,0.013,1.0,591.4,181.15,9.01e-12,1.54e-12,27.613,28.3,0.185,1.26,5.9,0.058,-0.054,0.027,0.0,6963.1,143.24,2.03e-10,5.18e-12,24.232,24.218,0.028,1.34,39.2,0.046,0.057,0.01,0.0
0.0,1.0,987.62,1179.2,1.24,40.3,0.078,0.083,140.0,0.108,1.0,8626.5,219.56,1.38e-10,4.26e-12,24.651,24.595,0.034,1.47,32.4,0.049,0.028,0.074,0.0,3152.2,155.27,9.18e-11,4.03e-12,25.093,25.088,0.048,1.16,22.8,0.094,0.14,0.105,0.0
0.0,1.0,142.69,1231.52,1.74,38.5,0.02,0.084,60.0,0.161,1.0,1936.1,197.24,2.84e-11,2.72e-12,26.365,26.936,0.104,1.54,10.5,0.022,0.175,0.191,0.0,6720.6,160.9,1.96e-10,5.38e-12,24.271,24.259,0.03,1.69,36.4,-0.015,0.099,0.135,0.0
0.0,1.0,2574.76,3099.85,1.29,41.3,0.027,0.073,110.0,0.035,1.0,2593.6,186.83,3.78e-11,2.67e-12,26.057,26.576,0.077,1.37,14.1,0.108,0.282,0.015,0.0,6600.9,143.8,1.99e-10,5.16e-12,24.256,24.245,0.028,1.37,38.5,-0.008,0.011,0.025,0.0
0.0,1.0,4142.61,3065.81,1.24,30.2,-0.106,0.112,135.0,0.2,1.0,812.5,188.94,1.22e-11,1.65e-12,27.288,27.786,0.148,1.33,7.3,-0.102,0.01,0.266,0.0,1934.4,155.07,5.78e-11,4.08e-12,25.594,25.584,0.077,1.16,14.2,-0.11,0.177,0.164,0.0
0.0,1.0,662.06,1975.54,1.84,37.9,-0.067,0.312,170.0,0.165,1.0,7638.8,242.64,1.22e-10,4.17e-12,24.783,24.723,0.037,2.0,29.3,0.013,0.14,0.053,0.0,2611.4,158.15,7.6e-11,4.03e-12,25.298,25.293,0.058,1.54,18.9,-0.138,0.418,0.251,0.0
