extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,1783.75,1187.37,1.21,5326.0,-0.03,0.017,90.0,0.004,1.0,72000000.0,17825.21,4.24e-08,1.4199999999999998e-11,18.431,99.999,0.0,1.29,2986.2,-0.047,0.012,0.004,0.0,19600000.0,5835.75,1.0200000000000001e-07,3.8e-11,17.477999999999998,99.999,0.0,0.89,2689.0,-0.022,0.0069999999999999,0.005,0.0
0.0,1.0,1388.18,709.17,1.6,1032.9,-0.049,0.013,80.0,0.003,1.0,2860000.0,4440.83,1.68e-09,1.84e-12,21.939,99.999,0.001,1.64,911.8,-0.057,0.016,0.003,0.0,684935.9,1015.26,3.56e-09,7.349999999999999e-12,21.122,99.999,0.002,1.49,484.2,-0.0289999999999999,0.0069999999999999,0.003,0.0
0.0,1.0,4958.92,900.87,1.42,860.1,0.002,0.004,170.0,0.036,1.0,1340000.0,4140.68,7.85e-10,1.31e-12,22.763,99.999,0.002,1.4,600.0,-0.004,0.002,0.037,0.0,1110000.0,1240.14,5.74e-09,9.32e-12,20.602,99.999,0.002,1.44,616.0,0.019,0.009,0.033,0.0
0.0,1.0,4906.26,2231.24,1.1,189.3,-0.016,0.054,120.0,0.0,1.0,147718.4,4011.32,8.720000000000001e-11,4.79e-13,25.149,99.999,0.006,1.12,182.0,-0.019,0.038,0.0,0.0,17760.1,994.39,9.23e-11,1.82e-12,25.087,99.999,0.021,1.04,50.6,-0.001,0.131,0.001,0.0
0.0,1.0,4478.5,4898.38,1.09,119.7,-0.032,0.035,155.0,0.015,1.0,116072.2,3930.6,6.91e-11,6.1e-13,25.402,99.999,0.01,1.1,113.2,-0.042,0.032,0.011,0.0,11877.9,871.03,6.19e-11,1.65e-12,25.521,99.999,0.0289999999999999,1.08,37.6,-0.002,0.045,0.025,0.0
0.0,1.0,4615.94,1532.41,1.06,114.6,0.009,0.113,80.0,0.0139999999999999,1.0,47061.3,4346.21,2.7600000000000004e-11,3.989999999999999e-13,26.396,99.999,0.016,1.07,69.2,0.008,0.171,0.02,0.0,40337.5,1026.79,2.1e-10,2.31e-12,24.196,99.999,0.012,1.01,90.8,0.011,0.023,0.006,0.0
0.0,1.0,4902.32,3162.05,1.08,128.2,-0.046,0.0579999999999999,90.0,0.011,1.0,83439.9,3897.26,4.99e-11,4.0600000000000004e-13,25.756,99.999,0.009,1.1,122.9,-0.051,0.068,0.01,0.0,10927.3,948.79,5.69e-11,1.64e-12,25.612,99.999,0.031,1.03,34.7,-0.022,0.0069999999999999,0.018,0.0
0.0,1.0,1312.04,3832.52,1.1,126.5,-0.011,0.048,130.0,0.001,1.0,77068.9,3562.73,4.5899999999999985e-11,3.920000000000001e-13,25.845,99.999,0.009,1.11,117.1,-0.019,0.06,0.001,0.0,16387.4,874.85,8.52e-11,1.85e-12,25.173,99.999,0.024,1.06,46.1,0.021,-0.006,0.002,0.0
0.0,1.0,1639.19,1882.61,1.11,118.6,-0.023,0.045,45.0,0.008,1.0,45073.8,3656.85,2.65e-11,3.46e-13,26.441,99.999,0.0139999999999999,1.11,76.7,-0.037,0.073,0.01,0.0,38890.2,912.07,2.02e-10,2.31e-12,24.237,99.999,0.012,1.09,87.5,0.0069999999999999,-0.015,0.003,0.0
0.0,1.0,1621.26,1872.79,1.1,89.0,0.003,0.008,130.0,0.0069999999999999,1.0,31778.3,3731.54,1.87e-11,3.289999999999999e-13,26.82,99.999,0.019,1.07,56.8,0.0069999999999999,0.003,0.008,0.0,26007.7,888.41,1.35e-10,2.05e-12,24.673,99.999,0.016,1.1,66.0,0.004,0.0139999999999999,0.003,0.0
0.0,1.0,4541.71,1365.9,1.16,76.4,-0.09,0.135,150.0,0.034,1.0,30589.8,4403.58,1.8e-11,3.73e-13,26.862,99.999,0.023,1.18,48.3,-0.136,0.174,0.045,0.0,21381.9,1035.93,1.11e-10,1.92e-12,24.885,99.999,0.019,1.1,57.7,-0.022,0.078,0.016,0.0
0.0,1.0,1437.59,3654.02,1.03,80.9,-0.054,0.034,140.0,0.155,1.0,32829.1,3610.36,1.96e-11,3.33e-13,26.772,99.999,0.018,1.02,58.8,-0.081,0.049,0.207,0.0,19502.3,892.31,1.02e-10,1.88e-12,24.983,99.999,0.02,1.04,54.1,0.006,0.003,0.045,0.0
0.0,1.0,1742.26,4708.62,1.05,58.6,-0.0,0.061,130.0,0.087,1.0,42565.6,3800.88,2.53e-11,4.75e-13,26.491,99.999,0.02,1.02,53.3,-0.0,0.01,0.051,0.0,6491.0,868.77,3.38e-11,1.51e-12,26.178,99.999,0.049,1.1,22.3,-0.001,0.201,0.184,0.0
0.0,1.0,4800.56,3780.22,1.02,73.6,0.002,0.059,20.0,0.01,1.0,31581.0,3866.32,1.89e-11,3.28e-13,26.81,99.999,0.019,1.02,57.5,0.015,0.09,0.009,0.0,14616.9,959.22,7.61e-11,1.75e-12,25.296,99.999,0.025,1.01,43.6,-0.036,-0.015,0.012,0.0
0.0,1.0,5213.35,1169.7,1.07,66.0,0.035,0.043,140.0,0.006,1.0,26115.3,3593.65,1.53e-11,3.420000000000001e-13,27.036,99.999,0.024,1.03,44.8,0.05,0.042,0.006,0.0,15798.8,881.73,8.21e-11,1.77e-12,25.214,99.999,0.023,1.15,46.4,0.018,0.047,0.006,0.0
