extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
2.0,1.0,1059.07,3992.76,5.21,54.8,0.111,0.614,70.0,0.2769999999999999,1.0,2345.2,401.93,2.96e-11,1.95e-12,26.323,26.374,0.071,6.56,15.2,-0.283,0.483,0.366,0.0,4117.3,961.09,3.71e-11,2.15e-12,26.078000000000003,26.071,0.062,2.53,17.5,0.275,0.66,0.175,0.0
2.0,1.0,3843.7,3481.41,1.65,46.4,0.102,0.218,65.0,0.05,1.0,198.8,463.76,2.4e-12,1.08e-12,29.048,29.687,0.484,1.08,2.2,0.027,0.4379999999999999,0.066,0.0,2969.3,1092.22,2.68e-11,1.85e-12,26.428,26.416,0.073,1.51,14.8,0.11,0.258,0.276,0.0
2.0,1.0,3777.69,4041.8,4.36,51.3,-0.035,0.408,125.0,0.035,1.0,9902.8,477.14,1.25e-10,2.84e-12,24.759,24.719,0.025,7.61,43.9,0.203,0.657,0.021,0.0,4258.6,1167.11,3.86e-11,2.23e-12,26.032,26.029,0.062,2.17,17.5,-0.245,0.172,0.102,0.0
2.0,1.0,2934.76,4007.14,2.45,39.9,-0.0409999999999999,0.589,165.0,0.1969999999999999,1.0,496.2,444.19,6.26e-12,1.59e-12,28.009,28.574,0.276,1.33,3.9,-0.252,0.075,0.03,0.0,4492.9,1058.63,4.16e-11,2.17e-12,25.952,25.94,0.0579999999999999,1.98,18.8,-0.01,0.6659999999999999,0.083,0.0
2.0,1.0,3072.85,3997.75,3.07,43.5,0.022,0.389,170.0,0.015,1.0,301.7,448.52,3.8e-12,1.61e-12,28.549,29.214,0.4589999999999999,1.68,2.4,-0.0559999999999999,0.306,0.043,0.0,6214.2,1059.33,5.65e-11,2.25e-12,25.62,25.607,0.043,2.97,25.2,0.023,0.392,0.0289999999999999,0.0
2.0,1.0,3282.82,4012.66,1.59,38.1,0.062,0.214,110.0,0.237,1.0,379.5,452.86,4.79e-12,1.61e-12,28.3,28.907,0.366,1.1,3.0,-0.17,0.095,0.397,0.0,4585.7,1087.7,4.16e-11,2.21e-12,25.952,25.94,0.057,1.35,18.9,0.084,0.231,0.359,0.0
2.0,1.0,3298.04,4038.56,2.9,34.8,0.109,0.409,145.0,0.04,1.0,371.6,447.33,4.6900000000000004e-12,1.61e-12,28.323,28.895,0.373,0.77,2.9,-0.128,4.525,0.078,0.0,3500.7,1081.14,3.26e-11,2.09e-12,26.218000000000004,26.207,0.072,2.55,15.2,0.139,-0.078,0.207,0.0
2.0,1.0,3093.39,4021.51,2.89,36.2,0.032,0.474,160.0,0.039,1.0,7542.2,434.5,9.51e-11,2.7000000000000002e-12,25.054,25.107,0.031,4.85,35.3,0.345,0.6679999999999999,0.031,0.0,1714.0,1048.79,1.56e-11,1.95e-12,27.014,27.012,0.136,1.87,8.0,-0.407,0.186,0.049,0.0
2.0,1.0,3235.98,4035.49,3.6,31.5,0.14,0.298,55.0,0.226,1.0,376.2,450.37,4.74e-12,1.65e-12,28.31,28.885,0.3779999999999999,0.92,2.9,0.104,-0.465,0.128,0.0,3717.9,1061.35,3.36e-11,2.14e-12,26.183000000000003,26.172,0.068,3.62,15.9,0.139,0.371,0.439,0.0
2.0,1.0,2971.45,4042.51,2.32,33.8,0.074,0.287,45.0,0.005,1.0,6359.9,445.5,8.02e-11,2.48e-12,25.239,25.232,0.034,3.82,32.3,0.447,0.6559999999999999,0.0069999999999999,0.0,2087.6,1093.97,1.9e-11,1.9900000000000002e-12,26.802,26.799,0.113,1.5,9.6,-0.37,-0.161,0.005,0.0
