e,c,x,y,Chi,SN,Sharp,Round,MA,Crowd,T,Counts,Bkgrd,inst_vega_mag1,m_V,mag1_err,Chi.1,SN.1,Sharp.1,Round.1,Crowd.1,FWHM,Ellip,PSFa,PSFb,PSFc,Eflag,Counts.1,Bkgrd.1,inst_vega_mag2,m_I,mag2_err,Chi.2,SN.2,Sharp.2,Round.2,Crowd.2,FWHM.1,Ellip.1,PSFa.1,PSFb.1,PSFc.1,Eflag.1
0.0,1.0,3295.48,2188.69,1.55,367.0,0.006,0.057,90.0,0.063,1.0,623400.4,2838.49,22.741,22.769,0.004,1.56,299.7,0.013,0.044,0.059,1.0,0.0,1.0,1.0,0.0,2.0,239217.0,1512.91,22.585,22.579,0.005,1.52,211.8,-0.001,0.07,0.066,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3786.48,2140.09,1.39,464.6,0.013,0.021,85.0,0.013,1.0,429068.0,3010.7,23.153,23.297,0.003,1.39,388.4,0.016,0.028,0.01,1.0,0.0,1.0,1.0,0.0,0.0,228664.6,1593.17,22.634,22.626,0.004,1.39,254.9,0.008,0.01,0.018,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,4060.14,1554.06,1.45,439.5,0.02,0.034,85.0,0.039,1.0,277624.0,2944.63,23.627,24.082,0.004,1.43,272.7,0.017,0.032,0.033,1.0,0.0,1.0,1.0,0.0,2.0,366587.5,1565.8,22.122,22.112,0.003,1.47,344.6,0.024,0.036,0.046,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3938.1,2290.53,1.34,400.0,0.006,0.015,130.0,0.063,1.0,201979.1,2750.41,23.981,24.465,0.005,1.06,241.2,0.006,0.01,0.047,1.0,0.0,1.0,1.0,0.0,0.0,299160.7,1449.24,22.352,22.342,0.003,1.6,319.1,0.006,0.022,0.081,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3744.16,1436.94,1.78,372.7,0.007,0.016,170.0,0.051,1.0,364119.2,3051.29,23.333,23.341,0.003,1.93,329.5,0.012,0.005,0.045,1.0,0.0,1.0,1.0,0.0,2.0,127186.9,1593.5,23.27,23.264,0.007,1.42,153.9,0.002,0.028,0.059,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,4071.22,1954.7,2.32,354.5,0.034,0.122,125.0,0.136,1.0,351785.8,2730.87,23.369,23.414,0.004,2.64,299.5,0.03,0.119,0.142,1.0,0.0,1.0,1.0,0.0,2.0,142447.5,1447.59,23.148,23.141,0.006,1.78,189.3,0.04,0.125,0.127,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3484.43,2084.06,1.22,324.4,0.006,0.045,80.0,0.045,1.0,257914.2,2845.67,23.706,23.762,0.004,1.29,280.8,0.002,0.053,0.035,1.0,0.0,1.0,1.0,0.0,0.0,108496.1,1533.14,23.443,23.436,0.008,1.08,144.4,0.007,0.03,0.051,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3734.76,2170.47,1.48,222.6,-0.004,0.007,90.0,0.064,1.0,115811.8,3013.15,24.568,25.044,0.009,1.39,119.7,0.002,-0.023,0.112,1.0,0.0,1.0,1.0,0.0,0.0,167290.6,1590.0,22.973,22.963,0.006,1.55,187.7,-0.008,0.032,0.029,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3825.36,1270.87,1.32,259.5,0.018,0.073,90.0,0.092,1.0,199120.5,2817.63,23.986,24.0,0.005,1.28,226.2,0.004,0.059,0.074,1.0,0.0,1.0,1.0,0.0,2.0,71343.6,1525.9,23.898,23.892,0.009,1.36,126.3,0.037,0.095,0.12,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3444.28,2072.06,1.56,248.5,0.025,0.108,155.0,0.146,1.0,94468.0,2839.84,24.796,25.289,0.008,1.5,134.7,0.044,0.205,0.206,1.0,0.0,1.0,1.0,0.0,2.0,145967.6,1516.15,23.121,23.11,0.005,1.6,208.8,0.008,0.025,0.096,1.0,0.0,1.0,1.0,0.0,0.0
