extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,2104.97,1114.13,1.35,129.2,-0.008,0.04,155.0,0.001,1.0,64494.6,407.15,4.85e-10,6.7e-12,23.285,23.213,0.015,1.43,72.5,-0.006,0.067,0.001,0.0,138306.7,766.36,1.26e-09,1.18e-11,22.251,22.243,0.01,1.27,107.0,-0.011,0.014,0.002,0.0
0.0,1.0,2049.14,1143.72,0.98,102.9,-0.011,0.027,25.0,0.002,1.0,16445.6,466.83,1.24e-10,3.38e-12,24.765,24.644,0.03,1.04,36.7,-0.007,0.04,0.002,0.0,84714.0,844.43,7.75e-10,8.06e-12,22.777,22.767,0.011,0.92,96.1,-0.015,0.017,0.001,0.0
0.0,1.0,2084.95,1115.91,0.99,81.4,0.003,0.063,0.0,0.018,1.0,17058.9,427.91,1.28e-10,4.18e-12,24.728,24.614,0.035,1.06,30.7,0.015,0.112,0.023,0.0,77146.2,775.94,7.02e-10,9.32e-12,22.884,22.875,0.014,0.91,75.4,-0.006,0.026,0.014,0.0
0.0,1.0,2079.75,1096.09,0.94,45.1,0.014,0.037,60.0,0.069,1.0,12535.2,413.29,9.43e-11,3.8e-12,25.063,24.991,0.044,0.82,24.9,-0.029,0.081,0.063,0.0,26835.6,747.02,2.44e-10,6.49e-12,24.031,24.023,0.029,1.06,37.6,0.054,-0.005,0.075,0.0
0.0,1.0,1741.92,1108.72,0.96,33.5,0.031,0.011,0.0,0.003,1.0,1064.2,271.2,8.04e-12,2.52e-12,27.737,27.541,0.34,1.1,3.2,-0.094,-0.139,0.006,0.0,20796.5,518.4,1.9e-10,5.7e-12,24.306,24.293,0.033,0.83,33.3,0.053,0.038,0.002,0.0
0.0,1.0,1918.04,1316.67,1.04,56.6,0.025,0.037,0.0,0.003,1.0,7689.5,277.76,5.89e-11,2.27e-12,25.575,25.483,0.042,1.08,25.9,0.049,0.031,0.004,0.0,23467.7,526.24,2.15e-10,4.26e-12,24.171,24.162,0.022,1.0,50.3,0.006,0.042,0.002,0.0
0.0,1.0,1991.78,1202.21,0.91,55.2,0.009,0.034,165.0,0.001,1.0,7662.9,360.78,5.87e-11,2.31e-12,25.579,25.489,0.043,0.98,25.4,0.013,0.032,0.001,0.0,22634.2,663.0,2.07e-10,4.22e-12,24.21,24.202,0.022,0.83,49.0,0.005,0.036,0.001,0.0
0.0,1.0,2060.94,1086.31,1.12,25.5,-0.005,0.203,35.0,0.01,1.0,4781.7,405.81,3.57e-11,3.98e-12,26.117,26.002,0.121,1.31,9.0,-0.027,0.354,0.013,0.0,22194.7,722.5,1.98e-10,8.33e-12,24.256,24.246,0.046,0.87,23.8,0.009,0.104,0.008,0.0
0.0,1.0,2074.02,1099.53,1.1,35.0,-0.086,0.096,125.0,0.056,1.0,14829.9,439.49,1.12e-10,3.94e-12,24.881,24.864,0.038,1.03,28.3,-0.066,0.086,0.039,0.0,11581.7,758.88,1.05e-10,5.14e-12,24.942,24.936,0.053,1.17,20.5,-0.117,0.11,0.081,0.0
0.0,1.0,2062.84,1152.5,1.18,38.7,-0.036,0.019,30.0,0.117,1.0,4744.8,478.05,3.58e-11,2.48e-12,26.115,26.008,0.075,1.37,14.4,-0.034,0.117,0.129,0.0,18921.6,844.29,1.73e-10,4.83e-12,24.405,24.395,0.03,0.96,35.8,-0.037,-0.045,0.109,0.0
0.0,1.0,2094.24,1111.09,1.25,30.6,0.01,0.165,5.0,0.029,1.0,4137.0,396.22,3.1e-11,2.9e-12,26.27,26.159,0.102,1.15,10.7,-0.043,0.317,0.035,0.0,17645.6,745.89,1.61e-10,5.65e-12,24.485,24.476,0.038,1.33,28.5,0.042,0.073,0.025,0.0
0.0,1.0,2081.49,1138.99,1.13,36.4,0.018,0.091,165.0,0.037,1.0,4621.4,432.86,3.5e-11,2.41e-12,26.141,26.04,0.075,1.29,14.5,-0.004,0.233,0.055,0.0,16684.5,786.18,1.52e-10,4.58e-12,24.542,24.533,0.033,0.95,33.3,0.033,-0.007,0.025,0.0
0.0,1.0,2061.35,1148.99,1.21,33.9,-0.044,0.037,70.0,0.094,1.0,10353.9,470.58,7.82e-11,2.9e-12,25.267,25.246,0.04,1.34,27.0,-0.037,0.08,0.04,0.0,8932.9,834.98,8.17e-11,4e-12,25.22,25.214,0.053,1.08,20.4,-0.057,-0.027,0.176,0.0
0.0,1.0,2044.35,1137.05,1.11,30.9,-0.071,0.058,100.0,0.051,1.0,3614.6,457.9,2.73e-11,2.28e-12,26.41,26.306,0.091,1.16,11.9,-0.123,0.056,0.045,0.0,13559.8,812.09,1.24e-10,4.36e-12,24.766,24.757,0.038,1.05,28.4,-0.036,0.059,0.054,0.0
0.0,1.0,2086.48,1070.08,1.06,18.5,-0.01,0.155,175.0,0.019,1.0,9567.1,389.81,7.15e-11,4.79e-12,25.364,25.347,0.073,0.96,14.9,-0.006,0.171,0.014,0.0,7651.1,659.98,6.84e-11,6.26e-12,25.412,25.406,0.099,1.15,10.9,-0.016,0.132,0.026,0.0
0.0,1.0,2078.33,1099.85,1.19,22.7,0.015,0.207,175.0,0.177,1.0,3238.1,428.42,2.44e-11,2.85e-12,26.533,26.431,0.127,0.98,8.5,0.031,0.287,0.216,0.0,11949.0,760.73,1.09e-10,5.17e-12,24.909,24.9,0.052,1.36,21.0,0.006,0.158,0.154,0.0
0.0,1.0,2100.36,1117.63,0.98,21.5,0.019,0.094,120.0,0.115,1.0,3173.5,393.76,2.39e-11,2.66e-12,26.555,26.456,0.121,0.9,9.0,-0.039,-0.295,0.103,0.0,10856.4,745.92,9.88e-11,5.07e-12,25.013,25.004,0.056,1.04,19.5,0.06,0.374,0.123,0.0
0.0,1.0,2045.57,1115.11,0.96,21.5,-0.003,0.128,40.0,0.112,1.0,8390.4,426.95,6.32e-11,3.42e-12,25.498,25.495,0.059,0.97,18.5,-0.028,-0.029,0.107,0.0,5198.6,757.65,4.73e-11,4.37e-12,25.812,25.807,0.1,0.96,10.8,0.041,0.412,0.121,0.0
0.0,1.0,2083.88,1143.64,1.18,26.2,-0.029,0.117,170.0,0.048,1.0,7729.2,430.82,5.83e-11,2.76e-12,25.586,25.569,0.051,1.17,21.1,-0.038,0.019,0.021,0.0,6092.0,782.24,5.59e-11,3.66e-12,25.631,25.626,0.071,1.18,15.3,-0.016,0.267,0.09,0.0
0.0,1.0,1995.03,1175.67,1.03,26.9,0.021,0.272,5.0,0.092,1.0,2643.6,371.75,2.04e-11,1.87e-12,26.728,26.629,0.1,1.13,10.9,0.043,0.532,0.089,0.0,9175.6,700.4,8.41e-11,3.45e-12,25.189,25.18,0.045,0.93,24.3,0.005,0.093,0.094,0.0
