extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,2259.27,4021.38,1.03,51.0,-0.044,0.078,145.0,0.103,1.0,11857.3,834.73,3.4e-11,7.72e-13,26.17,26.178,0.025,1.03,44.1,-0.032,0.065,0.093,0.0,5501.4,586.46,3.6e-11,1.42e-12,26.109,26.103,0.043,1.02,25.4,-0.06,0.099,0.116,0.0
0.0,1.0,4089.92,3980.89,1.08,40.0,-0.006,0.08,20.0,0.001,1.0,5996.7,865.81,1.72e-11,6.71e-13,26.91,27.255,0.042,0.95,25.6,-0.009,0.144,0.001,0.0,7184.4,619.04,4.7e-11,1.54e-12,25.819,25.811,0.036,1.21,30.5,-0.003,0.029,0.001,0.0
0.0,1.0,2380.27,3984.12,1.04,33.8,-0.014,0.017,60.0,0.054,1.0,5823.4,857.85,1.67e-11,7.63e-13,26.942,27.271,0.05,1.04,21.9,0.008,-0.012,0.034,0.0,6653.1,593.54,4.35e-11,1.79e-12,25.904,25.895,0.045,1.08,24.3,-0.025,0.012,0.042,0.0
0.0,1.0,2262.12,3962.05,1.33,37.3,-0.0,0.04,110.0,0.007,1.0,5009.0,831.73,1.44e-11,6.29e-13,27.105,27.489,0.048,1.44,22.9,0.014,-0.001,0.011,0.0,6800.6,588.01,4.45e-11,1.52e-12,25.879,25.87,0.037,1.16,29.3,-0.012,0.073,0.005,0.0
0.0,1.0,4112.5,4018.44,1.05,31.4,0.015,0.076,165.0,0.009,1.0,1787.2,875.3,5.13e-12,5.74e-13,28.224,28.832,0.121,1.08,8.9,-0.03,0.0,0.011,0.0,6854.6,623.65,4.49e-11,1.5e-12,25.87,25.858,0.036,1.02,29.9,0.03,0.103,0.008,0.0
0.0,1.0,2168.17,4008.48,1.13,31.8,-0.013,0.028,130.0,0.009,1.0,2269.6,814.1,6.51e-12,5.6e-13,27.966,28.529,0.093,1.12,11.6,-0.068,0.002,0.012,0.0,6549.5,585.75,4.29e-11,1.46e-12,25.92,25.908,0.037,1.17,29.5,0.012,0.037,0.007,0.0
0.0,1.0,2330.23,3968.75,1.22,24.3,0.052,0.17,135.0,0.024,1.0,2962.0,829.7,8.49e-12,5.84e-13,27.677,28.061,0.075,1.31,14.6,-0.003,0.091,0.011,0.0,4017.0,597.21,2.63e-11,1.37e-12,26.451,26.442,0.057,1.09,19.2,0.095,0.231,0.035,0.0
0.0,1.0,2253.27,4029.11,1.12,20.6,-0.09,0.093,135.0,0.244,1.0,3828.7,833.69,1.1e-11,6.1e-13,27.397,27.408,0.06,1.09,18.0,-0.05,0.233,0.222,0.0,1797.4,588.34,1.18e-11,1.2e-12,27.323,27.317,0.11,1.16,9.8,-0.154,-0.135,0.278,0.0
0.0,1.0,2381.34,4002.23,1.34,15.4,0.087,0.152,10.0,0.017,1.0,1039.9,857.14,2.98e-12,6.14e-13,28.814,29.363,0.224,1.38,4.9,-0.05,0.086,0.005,0.0,2801.8,605.6,1.82e-11,1.53e-12,26.85,26.838,0.091,1.26,11.9,0.111,0.129,0.007,0.0
0.0,1.0,4104.94,4028.27,1.07,14.7,0.035,0.224,120.0,0.014,1.0,1993.0,873.05,5.72e-12,5.91e-13,28.107,28.384,0.112,1.1,9.7,0.062,0.303,0.01,0.0,1962.9,615.2,1.29e-11,1.23e-12,27.226,27.218,0.104,1.05,10.5,0.011,0.16,0.017,0.0
0.0,1.0,2260.35,4004.64,1.01,13.2,-0.087,0.201,105.0,0.344,1.0,1943.5,834.57,5.59e-12,5.56e-13,28.132,28.247,0.108,1.02,10.1,-0.078,0.31,0.318,0.0,1294.6,589.24,8.46e-12,1.21e-12,27.681,27.674,0.156,1.01,7.0,-0.1,0.045,0.382,0.0
0.0,1.0,2335.53,3974.54,1.09,14.6,0.131,0.323,20.0,0.073,1.0,2000.7,829.02,5.75e-12,5.6e-13,28.102,28.354,0.106,1.07,10.3,0.083,0.02,0.052,0.0,1845.2,587.55,1.21e-11,1.21e-12,27.295,27.287,0.108,1.12,10.0,0.178,0.601,0.093,0.0
0.0,1.0,4125.98,3962.44,1.03,13.6,0.009,0.111,0.0,0.004,1.0,1861.5,860.05,5.34e-12,5.83e-13,28.181,28.451,0.118,1.12,9.2,0.12,0.326,0.006,0.0,1795.5,614.25,1.17e-11,1.22e-12,27.325,27.317,0.113,0.93,9.6,-0.089,-0.066,0.003,0.0
0.0,1.0,4132.16,3993.32,1.25,13.0,0.084,0.355,35.0,0.056,1.0,1940.6,872.04,5.58e-12,5.85e-13,28.133,28.34,0.114,1.26,9.5,0.063,0.205,0.048,0.0,1599.5,618.55,1.05e-11,1.26e-12,27.451,27.443,0.131,1.24,8.3,0.108,0.502,0.065,0.0
0.0,1.0,2253.53,4026.79,1.1,12.6,-0.045,0.094,95.0,0.318,1.0,1953.2,840.42,5.62e-12,5.62e-13,28.126,28.239,0.109,0.99,10.0,-0.048,-0.023,0.341,0.0,1291.9,587.1,8.47e-12,1.17e-12,27.681,27.674,0.15,1.2,7.2,-0.042,0.263,0.288,0.0
0.0,1.0,4084.44,4022.85,1.09,11.5,0.088,0.73,175.0,0.011,1.0,1452.6,873.46,4.18e-12,5.67e-13,28.448,28.731,0.147,1.19,7.4,0.176,0.98,0.009,0.0,1460.6,619.25,9.55e-12,1.2e-12,27.55,27.541,0.137,0.97,8.0,0.012,0.529,0.013,0.0
0.0,1.0,4148.98,3980.66,1.14,7.3,0.074,0.642,85.0,0.032,1.0,881.4,869.48,2.52e-12,5.46e-13,28.995,29.239,0.235,1.24,4.6,0.152,0.014,0.027,0.0,791.2,616.89,5.19e-12,1.16e-12,28.212,28.203,0.243,1.03,4.5,0.002,1.23,0.037,0.0
0.0,1.0,2285.47,3956.59,1.01,7.9,0.098,0.55,20.0,0.0,1.0,991.6,835.29,2.85e-12,5.26e-13,28.863,29.113,0.201,0.96,5.4,0.037,0.202,0.0,0.0,910.1,592.1,5.95e-12,1.13e-12,28.063,28.055,0.207,1.05,5.2,0.158,0.895,0.0,0.0
