galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.07000000000089,0.2916723071317121,3.572289156626506,0.313679475107124,4.966442953020135,1480.0,0.12266785033041222,1.0,0.46,4.18082089198615,1.319470085470085,0.016909,0.0110038,0.0,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.247000000000973,0.08213647225144705,4.549086757990867,0.16975431175120823,8.43028624192059,9130.0,0.3005762650007673,1.0,0.68,2.010783134792343,1.7042945638432367,0.0655795,0.0426769,0.0,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.238000000001065,0.07465526856222185,4.690366972477064,0.24741743738740463,8.814338235294118,4795.0,0.21565720150114062,1.0,0.72,2.071757707255184,1.6651086419753087,0.0495845,0.0322679,0.0,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.022000000000695,0.1874058146460361,4.017543859649122,0.5946870402632621,9.846153846153847,896.0,0.06689893966257468,1.0,0.51,-7.945687275921216,1.8289565217391306,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.62200000000079,0.523622878813342,2.8686131386861313,0.20125114569315114,5.1461318051575935,1796.0,0.10319549481966644,1.542558003761563,0.73,1.8192494605294913,2.0554,0.0922608,0.0511528,0.0,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.441000000001196,0.07417219110193855,4.690322580645161,0.23957600760893985,9.141114982578397,5247.0,0.22654293925802158,1.0,0.79,2.172583723964498,1.7638659090909095,0.0409015,0.0266173,0.0,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.396000000001422,0.2625989983955945,3.553090332805071,0.16011852407694716,5.907276995305164,5033.0,0.20185895745006477,1.0,0.68,3.1912045584177053,1.3952828282828285,0.040216,0.0261712,0.0,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.16600000000026,0.1388566826132095,4.291666666666667,0.5616205401984863,7.626373626373627,694.0,0.0849910719312979,1.0,0.65,1.9464844989693761,1.6407391304347825,0.0221645,0.0144239,0.0,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,26.34900000000105,0.25726117011305677,3.7916666666666665,0.6152303562111542,7.869565217391305,543.0,0.06252083877900967,1.0,0.72,-1162.239680759205,1.3349250000000006,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.359000000001203,0.5563949461576009,2.742382271468144,0.16861044281045998,3.96709323583181,2170.0,0.11817084512265191,1.8901033228352304,0.57,3.715208445380973,1.3348516949152542,0.02742,0.017844,0.0,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,26.918000000000816,0.10796468029433581,4.548387096774194,0.9022590336675578,8.4,420.0,0.05169440447585957,1.0,0.74,7.395499508702719,1.665766666666667,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.48800000000091,0.8655468815204784,1.9536423841059603,0.19548480994969256,3.9278350515463916,762.0,0.04141796756743766,0.8012079447936993,0.36,13.160503342473792,1.4563214285714285,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.938000000000976,0.9130707110397565,1.5598591549295775,0.11857457002008424,2.2742316784869976,962.0,0.04053690964050528,0.7841643607565948,0.49,2.3777685930320183,1.511666666666667,0.0313794,0.0173979,0.0,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.3430000000005,0.5015336508889066,3.061224489795918,0.3561746857979772,5.613636363636363,741.0,0.07006444067903905,1.0,0.7,1.6972635645851666,2.0929710144927545,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,28.023000000000607,0.9000796658255336,1.6153846153846154,0.1140155464568949,2.061224489795918,1010.0,0.05081853953828623,0.7253114282476453,0.41,1.5257388294121423,1.781705882352941,0.0708048,0.0392568,0.0,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.77700000000106,0.18314146798824923,3.821903787103378,0.1373415243624638,8.910535117056856,10657.0,0.2656031557763386,1.0,0.93,2.4607343948061713,1.4697779156327544,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.547000000001177,0.6722621081260715,1.7638355111452728,0.030606699057476337,1.7424323600321456,13009.0,0.22573131384077297,0.8498818968508746,0.56,-99.0,1.2076720430107526,0.090943,0.0591826,0.0,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.410000000000295,0.04693538521647112,5.352409638554217,0.3200183474476729,10.538461538461538,4658.0,0.21897633840793196,1.0,0.71,2.132555341000304,2.2284850299401198,0.0378162,0.0209667,0.0,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-10,184.6073157,47.2086766,25.28900000000096,0.0400014321241251,8.366666666666667,1.6162485140779743,17.076923076923077,666.0,0.10018715300114125,1.0,0.54,4.072926807682097,1.3597948717948718,0.0322185,0.0209667,0.0,61.0,160.0,33.15894786321558
