galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
M101,210.80227,54.34895,M101,210.8283333,54.1558333,25.080000000000886,0.1611822863296523,4.114754098360656,0.4153406205175919,5.588495575221239,1263.0,0.11476024449616927,1.0,0.57,4.382690356898564,1.3015937499999999,0.016909,0.0110038,0.0107250791632466,8.0,29.0,22.540055758382515
M66,170.06235,12.99154,M66,170.1311667,12.9958361,26.209000000000962,0.04061099719611428,6.173913043478261,0.31835933568475944,12.848148148148148,6938.0,0.2810022216640591,1.0,0.71,3.0866746859339833,1.5428731182795696,0.0655795,0.0426769,0.0101659179010637,57.0,7.0,24.02360675977596
M96,161.69058,11.81994,M96,161.7684484,11.8245514,26.211000000000965,0.040427827126632294,6.344660194174757,0.4756159683894059,12.628787878787879,3334.0,0.19074387279244082,1.0,0.72,3.217601157516694,1.5278154506437769,0.0495845,0.0322679,0.0123195887395941,47.0,135.0,19.11144099849296
NGC1309,50.52733,-15.40006,NGC1309,50.5220333,-15.3970389,27.6100000000002,0.12178354121673175,4.36734693877551,0.48907520208028404,8.390243902439025,1032.0,0.09888329960322569,1.0,0.67,1.679761168502951,2.2362727272727274,0.0922608,0.0511528,0.0388310365644705,46.0,175.0,4.872395270317277
NGC1316,50.67383,-37.20823,NGC1316,50.802175,-37.3226694,27.411000000001195,0.04065664903818064,6.195454545454545,0.450147004121219,13.20446096654275,3552.0,0.19978538735980236,1.0,0.78,3.971940368509713,1.5701721311475407,0.0409015,0.0266173,0.0040950377946784,44.0,48.0,70.91592730068481
NGC1365,53.40155,-36.1404,NGC1365,53.4642833,-36.2013889,27.391000000001014,0.12511382507512583,4.258461538461538,0.26249076885171085,7.05188679245283,2990.0,0.1723358151891172,1.0,0.65,4.4706353740315725,1.3361484098939929,0.040216,0.0261712,0.0072781042286877,41.0,50.0,35.76103078634115
NGC1404,54.71633,-35.59439,NGC1404,54.6946799,-35.5678725,27.16000000000016,0.07999769902507205,4.781818181818182,0.7090019015974643,9.08955223880597,609.0,0.07745232370882428,1.0,0.74,2.5798260196426313,1.5638518518518514,0.0221645,0.0144239,0.0206879822394491,26.0,163.0,10.310771036166622
NGC1448,56.133,-44.64483,NGC1448,56.1107833,-44.60395,27.352000000000942,0.3397141391902605,3.4263157894736844,0.2825257853036125,4.9644128113879,1395.0,0.11159303939556185,1.0,0.53,4.128723791265585,1.3311748251748248,0.02742,0.017844,0.0045129137694747,78.0,44.0,63.1693978959077
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,26.83500000000025,0.04000004365438259,9.75,5.118898807360818,20.166666666666668,121.0,0.04095281686394326,1.0,0.58,3.0949105914718062,2.154,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.525000000000354,0.8251453832801744,2.4285714285714284,0.41222469136171747,4.857142857142857,306.0,0.03326105734277489,0.8121799644033632,0.43,3.089239296889142,1.8429642857142856,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3021,147.73812,33.55363,NGC3021,147.7527683,33.5562528,27.865000000000407,0.8770047966446285,2.158536585365854,0.28834719873978687,3.3983739837398375,418.0,0.03476987612703224,0.8490228216180468,0.44,2.1741387038306477,1.8322888888888889,0.0313794,0.0173979,0.0258956659610024,60.0,105.0,7.892399493887002
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,27.157000000000195,0.043413525478905625,5.846153846153846,1.7546349311083587,14.8125,237.0,0.049249232711936174,1.0,0.71,1.595622267113304,2.531416666666667,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC3370,161.76688,17.27362,NGC3370,161.7825,17.2764722,28.007000000000332,0.9080910931890411,1.9682539682539681,0.21533063634978938,2.8554913294797686,494.0,0.05134730762191328,1.042601169489258,0.36,1.6839199580557849,1.9561232876712324,0.0708048,0.0392568,0.0160555110137923,56.0,155.0,13.942974427812995
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,26.817000000001066,0.09402962442835922,4.441758241758242,0.23048431817163847,13.45179584120983,7116.0,0.19997088211873348,1.0,0.84,2.7444340842171235,1.4651534883720931,0.090943,0.0591826,0.0036583905761011,44.0,159.0,81.10335861558856
NGC4038,180.47088,-18.86761,NGC4038,180.3604633,-18.9892639,27.497000000001172,0.5828897964462896,2.345692475463468,0.053411312715849965,2.662002743484225,9703.0,0.2580885799973181,1.2906308021588713,0.6,-99.0,1.28499016772701,0.090943,0.0591826,0.0036583905761011,44.0,159.0,81.10335861558856
NGC4258,184.7396,47.30397,NGC4258-1,184.8291667,47.3333333,25.380000000000294,0.04233473778636958,5.801801801801802,0.596254872865747,12.954248366013072,1982.0,0.13617237595188253,1.0,0.95,2.581549157950449,2.1025309734513273,0.0378162,0.0209667,0.0126678329964179,61.0,160.0,18.48763623849455
NGC4258,184.7396,47.30397,NGC4258-10,184.6073157,47.2086766,25.258000000000393,0.040000000277493175,11.235294117647058,2.8436423208074455,21.958333333333332,527.0,0.09154016581454441,1.0,0.58,4.8807458114510585,1.3302608695652172,0.0322185,0.0209667,0.0077549333845903,61.0,160.0,33.15894786321558
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.347000000000378,0.07935728001240462,4.724770642201835,0.4981454437736269,8.882352941176471,1359.0,0.10591591369523914,1.0,0.77,1.9110694542594795,2.163950980392157,0.0378162,0.0209667,0.0094293406540938,61.0,160.0,26.273954241696767
NGC4258,184.7396,47.30397,NGC4258-3,184.84,47.45,25.334000000000273,0.09566827781663828,4.641025641025641,0.8193203036927357,9.313725490196079,475.0,0.0747369079017695,1.0,0.52,1.786876916019387,2.0413636363636356,0.0378162,0.0209667,0.0074448710398428,61.0,160.0,34.809440448443915
NGC4258,184.7396,47.30397,NGC4258-4_G1,184.879161,47.353293,25.284000000000276,0.040116317716900135,6.90625,1.3062654193168879,13.772727272727273,606.0,0.08096382382779299,1.0,0.8,1.9940954587953978,2.080823529411765,0.0378162,0.0209667,0.0086391529577349,61.0,160.0,29.1592018756835
NGC4258,184.7396,47.30397,NGC4258-4_G2,184.918385,47.32009,25.278000000000304,0.04698277809389748,5.488888888888889,0.8896539917100954,11.258064516129032,698.0,0.09053086740136339,1.0,0.62,1.9511366871514064,2.0788604651162794,0.0378162,0.0209667,0.0077757113335681,61.0,160.0,33.0534913558453
