extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,2308.04,3391.61,2.6,41.0,0.18,0.25,15.0,0.037,1.0,420.0,199.28,5.95e-12,1.45e-12,28.063,28.687,0.265,1.38,4.1,-0.606,-0.247,0.122,0.0,2080.0,124.79,5.87e-11,3.96e-12,25.578,25.565,0.073,2.08,14.8,0.44,0.422,0.009,0.0
0.0,1.0,964.86,1337.83,2.41,38.1,0.264,0.122,160.0,0.092,1.0,389.7,162.76,5.8e-12,1.88e-12,28.091,28.691,0.352,1.62,3.1,-0.44,0.13,0.045,0.0,1538.3,125.56,4.79e-11,3.58e-12,25.799,25.788,0.081,2.02,13.4,0.401,0.134,0.005,0.0
0.0,1.0,933.77,1136.53,3.76,34.2,-0.035,1.315,50.0,0.099,1.0,3558.9,1185.29,5.21e-11,3.26e-12,25.708,26.028,0.068,2.98,16.0,-0.523,1.602,0.129,0.0,4152.5,752.34,1.32e-10,7.19e-12,24.697,24.688,0.059,4.1,18.4,0.376,0.745,0.075,0.0
0.0,1.0,3401.79,2520.29,3.23,33.8,0.18,0.241,110.0,0.004,1.0,569.1,197.79,7.99e-12,1.55e-12,27.744,28.326,0.21,2.26,5.2,-0.199,0.281,0.007,0.0,2059.9,131.1,5.89e-11,3.79e-12,25.576,25.564,0.07,2.79,15.5,0.319,0.227,0.002,0.0
0.0,1.0,475.49,3579.26,1.52,39.1,-0.09,0.029,70.0,0.214,1.0,5442.3,212.05,7.66e-11,2.38e-12,25.289,25.486,0.034,1.64,32.3,-0.116,0.054,0.181,0.0,4436.5,144.63,1.4e-10,6.92e-12,24.634,24.626,0.054,1.25,20.3,-0.038,-0.015,0.25,0.0
0.0,1.0,804.17,1278.21,2.71,24.7,0.202,0.463,5.0,1.596,1.0,451.5,192.63,6.57e-12,1.56e-12,27.956,28.384,0.258,1.4,4.2,-0.367,-0.083,0.133,0.0,763.4,128.91,2.37e-11,3.76e-12,26.565,26.555,0.173,2.45,6.3,0.517,0.747,0.429,0.0
0.0,1.0,3127.71,4198.41,1.09,29.8,-0.062,0.093,50.0,0.004,1.0,2233.4,181.28,3.2e-11,2.55e-12,26.237,26.785,0.087,1.22,12.5,-0.099,0.123,0.006,0.0,6161.4,147.4,1.95e-10,7.2e-12,24.277,24.266,0.04,0.94,27.0,-0.04,0.075,0.002,0.0
0.0,1.0,2055.27,3699.85,1.5,30.8,-0.103,0.037,175.0,0.373,1.0,4364.3,259.16,6.01e-11,3.29e-12,25.553,25.604,0.06,1.24,18.2,-0.049,0.123,0.303,0.0,2465.1,143.01,7.54e-11,4.28e-12,25.306,25.299,0.062,1.61,17.6,-0.181,-0.028,0.434,0.0
0.0,1.0,1143.64,2874.31,6.44,21.0,0.353,0.645,90.0,0.221,1.0,331.9,204.16,4.64e-12,1.5e-12,28.335,28.948,0.352,1.18,3.1,-0.898,0.226,0.246,0.0,1455.6,137.18,4.2e-11,3.78e-12,25.943,25.931,0.098,6.79,11.1,0.745,0.781,0.212,0.0
0.0,1.0,1141.64,3457.79,2.71,28.0,0.163,0.057,120.0,0.005,1.0,818.5,204.43,1.15e-11,1.57e-12,27.344,27.936,0.148,1.66,7.3,0.024,-0.143,0.006,0.0,2845.2,138.12,9.06e-11,4.32e-12,25.108,25.096,0.052,2.9,20.9,0.207,0.134,0.005,0.0
