extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,1783.75,1187.37,1.21,5326.0,-0.03,0.017,90.0,0.004,1.0,72000000.0,17825.21,4.24e-08,1.4199999999999998e-11,18.430999999999997,99.999,0.0,1.29,2986.2,-0.047,0.012,0.004,0.0,19600000.0,5835.75,1.0199999999999999e-07,3.8e-11,17.477999999999998,99.999,0.0,0.89,2689.0,-0.022000000000000002,0.006999999999999999,0.005,0.0
0.0,1.0,3709.51,1719.93,2.01,2639.2,-0.033,0.09699999999999999,15.0,0.23600000000000002,1.0,21600000.0,115304.9,1.27e-08,5.110000000000001e-12,19.739,99.999,0.0,2.0,2487.3,-0.033,0.11199999999999999,0.23600000000000002,0.0,2850000.0,13612.69,1.48e-08,1.68e-11,19.575,99.999,0.001,2.05,878.7,-0.034,0.046,0.237,0.0
0.0,1.0,4267.82,3607.32,2.15,1217.5,-0.13699999999999998,0.012,30.0,0.013000000000000001,1.0,3600000.0,11628.23,2.15e-09,1.89e-12,21.668000000000003,99.999,0.001,2.15,1138.7,-0.14300000000000002,0.016,0.013000000000000001,0.0,584630.7,2123.28,3.05e-09,7.08e-12,21.291,99.999,0.003,2.14,430.4,-0.115,0.001,0.012,0.0
0.0,1.0,1388.18,709.17,1.6,1032.9,-0.049,0.013000000000000001,80.0,0.003,1.0,2860000.0,4440.83,1.6800000000000002e-09,1.84e-12,21.939,99.999,0.001,1.64,911.8,-0.057,0.016,0.003,0.0,684935.9,1015.26,3.5600000000000005e-09,7.349999999999999e-12,21.122,99.999,0.002,1.49,484.2,-0.028999999999999998,0.006999999999999999,0.003,0.0
0.0,1.0,4289.43,4151.41,1.24,967.3,-0.025,0.009000000000000001,45.0,0.0,1.0,2170000.0,4904.16,1.3e-09,1.46e-12,22.218000000000004,99.999,0.001,1.3,885.6,-0.027000000000000003,0.01,0.0,0.0,467728.3,1154.32,2.44e-09,6.33e-12,21.533,99.999,0.003,0.9,384.8,-0.016,0.004,0.0,0.0
0.0,1.0,4958.92,900.87,1.42,860.1,0.002,0.004,170.0,0.036000000000000004,1.0,1340000.0,4140.68,7.85e-10,1.31e-12,22.763,99.999,0.002,1.4,600.0,-0.004,0.002,0.037000000000000005,0.0,1110000.0,1240.14,5.74e-09,9.32e-12,20.601999999999997,99.999,0.002,1.44,616.0,0.019,0.009000000000000001,0.033,0.0
0.0,1.0,3482.38,3551.68,1.73,705.8,-0.107,0.039,40.0,0.02,1.0,1430000.0,14191.0,8.54e-10,1.29e-12,22.671,99.999,0.002,1.75,664.3,-0.11199999999999999,0.039,0.017,0.0,208000.6,3241.6,1.0800000000000002e-09,4.72e-12,22.413,99.999,0.005,1.58,229.5,-0.087,0.038,0.032,0.0
0.0,1.0,3702.24,2210.35,2.35,646.9,-0.132,0.019,65.0,0.006,1.0,973624.6,9412.35,5.73e-10,1.04e-12,23.105,99.999,0.002,2.29,549.8,-0.142,0.019,0.006999999999999999,0.0,374044.0,2239.85,1.94e-09,5.71e-12,21.778000000000002,99.999,0.003,2.52,340.3,-0.10099999999999999,0.02,0.004,0.0
0.0,1.0,3851.74,4017.14,1.15,581.6,-0.027000000000000003,0.027000000000000003,100.0,0.006,1.0,892771.4,7466.98,5.34e-10,1.01e-12,23.182,99.999,0.002,1.2,526.5,-0.033,0.03,0.005,0.0,208751.8,1687.24,1.09e-09,4.5e-12,22.409000000000002,99.999,0.004,0.92,241.4,-0.008,0.016,0.006,0.0
0.0,1.0,1919.32,2910.37,1.08,562.5,-0.024,0.01,60.0,0.006,1.0,405817.0,4764.79,2.42e-10,7.09e-13,24.041,99.999,0.003,1.1,341.0,-0.027000000000000003,0.012,0.006999999999999999,0.0,592228.6,1292.15,3.08e-09,6.900000000000001e-12,21.276999999999997,99.999,0.002,0.99,447.1,-0.015,0.006,0.005,0.0
0.0,1.0,3019.06,3348.59,2.14,512.7,-0.094,0.06,165.0,0.259,1.0,880767.8,10111.9,5.26e-10,1.1e-12,23.197,99.999,0.002,2.11,479.2,-0.08900000000000001,0.057,0.248,0.0,152493.0,2433.29,7.939999999999999e-10,4.3799999999999995e-12,22.75,99.999,0.006,2.22,181.2,-0.111,0.07200000000000001,0.298,0.0
0.0,1.0,3950.5,3095.73,1.13,541.9,-0.027999999999999997,0.021,175.0,0.0,1.0,803747.8,6998.67,4.8e-10,9.640000000000001e-13,23.296,99.999,0.002,1.18,498.5,-0.03,0.017,0.0,0.0,159524.0,1768.92,8.309999999999999e-10,4.0199999999999994e-12,22.701,99.999,0.005,0.96,206.8,-0.021,0.033,0.0,0.0
0.0,1.0,2836.93,3209.76,1.29,518.8,-0.08199999999999999,0.032,105.0,0.005,1.0,818915.2,8557.85,4.89e-10,9.779999999999999e-13,23.276,99.999,0.002,1.32,500.5,-0.077,0.032,0.004,0.0,81931.5,2078.62,4.27e-10,3.19e-12,23.424,99.999,0.008,1.2,133.8,-0.10400000000000001,0.034,0.008,0.0
0.0,1.0,2767.3,3629.47,1.08,527.5,-0.02,0.015,35.0,0.001,1.0,724135.1,5722.46,4.33e-10,9.050000000000001e-13,23.409000000000002,99.999,0.002,1.1,478.0,-0.021,0.011000000000000001,0.001,0.0,174243.6,1443.48,9.070000000000001e-10,4.09e-12,22.605,99.999,0.005,1.05,221.6,-0.017,0.03,0.002,0.0
0.0,1.0,2907.22,1273.68,1.93,513.8,-0.11,0.079,70.0,0.011000000000000001,1.0,714689.8,6754.26,4.2000000000000005e-10,9.02e-13,23.441,99.999,0.002,1.9,466.1,-0.12,0.09,0.013000000000000001,0.0,162923.9,1530.26,8.47e-10,3.9800000000000004e-12,22.680999999999997,99.999,0.005,2.02,213.0,-0.076,0.038,0.008,0.0
0.0,1.0,3112.88,2743.92,1.45,412.6,-0.084,0.009000000000000001,140.0,0.067,1.0,750057.9,11014.02,4.4100000000000003e-10,1.17e-12,23.388,99.999,0.003,1.55,375.6,-0.095,0.004,0.062,0.0,132856.4,2980.23,6.900000000000001e-10,4.09e-12,22.903000000000002,99.999,0.006,1.2,168.9,-0.057,0.022000000000000002,0.078,0.0
0.0,1.0,4384.89,4655.42,1.1,481.0,-0.018000000000000002,0.008,55.0,0.0,1.0,713726.8,4233.29,4.26e-10,9.91e-13,23.426,99.999,0.003,1.13,429.9,-0.023,0.01,0.0,0.0,159662.2,1002.04,8.319999999999999e-10,3.86e-12,22.7,99.999,0.005,1.01,215.4,-0.005,0.004,0.0,0.0
0.0,1.0,2534.99,4404.89,1.05,511.7,-0.024,0.004,10.0,0.0,1.0,686036.7,4306.52,4.1000000000000003e-10,8.740000000000001e-13,23.468000000000004,99.999,0.002,1.09,468.7,-0.027000000000000003,0.005,0.0,0.0,147573.7,1043.99,7.689999999999999e-10,3.75e-12,22.785999999999998,99.999,0.005,0.89,205.0,-0.01,0.002,0.0,0.0
0.0,1.0,4313.18,4264.2,1.11,479.3,-0.018000000000000002,0.015,40.0,0.004,1.0,652842.9,4822.85,3.9e-10,8.57e-13,23.522,99.999,0.002,1.18,455.1,-0.021,0.015,0.002,0.0,87934.2,1124.28,4.58e-10,3.0800000000000002e-12,23.348000000000003,99.999,0.006999999999999999,0.89,148.7,-0.006999999999999999,0.013999999999999999,0.011000000000000001,0.0
0.0,1.0,3777.75,1438.62,1.5,447.1,-0.077,0.008,70.0,0.106,1.0,544280.0,7631.79,3.2000000000000003e-10,8.390000000000001e-13,23.737,99.999,0.003,1.5,381.7,-0.08800000000000001,0.017,0.113,0.0,197289.4,1658.14,1.0300000000000002e-09,4.410000000000001e-12,22.473000000000003,99.999,0.005,1.52,232.3,-0.044000000000000004,-0.022000000000000002,0.084,0.0
0.0,1.0,3856.87,4048.69,2.09,429.7,-0.12300000000000001,0.07,155.0,0.146,1.0,617121.6,9361.46,3.69e-10,9.14e-13,23.583000000000002,99.999,0.003,2.23,403.4,-0.134,0.069,0.149,0.0,98430.9,1922.62,5.13e-10,3.48e-12,23.226,99.999,0.006999999999999999,1.57,147.4,-0.084,0.075,0.135,0.0
0.0,1.0,3485.14,2766.37,1.14,391.3,-0.039,0.044000000000000004,40.0,0.031,1.0,611114.4,9796.92,3.61e-10,1.03e-12,23.607,99.999,0.003,1.19,350.6,-0.040999999999999995,0.046,0.026000000000000002,0.0,131929.7,2844.37,6.859999999999999e-10,3.96e-12,22.91,99.999,0.006,1.02,173.3,-0.032,0.039,0.044000000000000004,0.0
0.0,1.0,3250.82,3086.74,1.15,412.2,-0.037000000000000005,0.023,80.0,0.09699999999999999,1.0,607995.4,11392.05,3.63e-10,9.18e-13,23.599,99.999,0.003,1.2,395.6,-0.040999999999999995,0.024,0.094,0.0,76232.0,3118.7,3.9699999999999997e-10,3.4700000000000004e-12,23.502,99.999,0.009000000000000001,0.98,114.5,-0.019,0.015,0.111,0.0
0.0,1.0,3747.28,1448.73,1.21,432.9,-0.022000000000000002,0.02,100.0,0.02,1.0,609772.1,8854.65,3.59e-10,8.809999999999999e-13,23.613000000000003,99.999,0.003,1.25,407.3,-0.023,0.021,0.019,0.0,88072.3,1806.87,4.58e-10,3.2299999999999998e-12,23.349,99.999,0.008,1.04,141.7,-0.013000000000000001,0.016,0.025,0.0
0.0,1.0,3082.09,2176.85,1.64,431.9,-0.13,0.066,140.0,0.013999999999999999,1.0,609776.8,8454.71,3.59e-10,8.65e-13,23.613000000000003,99.999,0.003,1.73,414.9,-0.131,0.067,0.013000000000000001,0.0,63436.6,2206.0,3.3e-10,2.94e-12,23.705,99.999,0.01,1.29,112.1,-0.131,0.065,0.017,0.0
0.0,1.0,4079.92,2122.41,1.43,416.6,-0.083,0.027999999999999997,175.0,0.08900000000000001,1.0,601251.9,9284.61,3.54e-10,9.1e-13,23.627,99.999,0.003,1.5,388.9,-0.09300000000000001,0.028999999999999998,0.08900000000000001,0.0,92237.0,1874.53,4.79e-10,3.34e-12,23.298000000000002,99.999,0.008,1.17,143.7,-0.05,0.027000000000000003,0.09,0.0
0.0,1.0,2711.47,2990.26,1.15,440.5,-0.03,0.009000000000000001,40.0,0.006,1.0,603072.8,7242.12,3.59e-10,8.550000000000001e-13,23.611,99.999,0.003,1.19,420.2,-0.035,0.011000000000000001,0.006,0.0,78330.4,1757.08,4.0800000000000004e-10,3.1e-12,23.473000000000003,99.999,0.008,1.02,131.5,-0.013000000000000001,-0.002,0.006,0.0
0.0,1.0,2784.82,4451.12,1.07,448.4,-0.028999999999999998,0.005,155.0,0.013000000000000001,1.0,558383.8,5092.2,3.34e-10,8.09e-13,23.691999999999997,99.999,0.003,1.11,412.4,-0.034,0.005,0.013999999999999999,0.0,116290.7,1170.73,6.06e-10,3.4500000000000004e-12,23.044,99.999,0.006,0.95,175.6,-0.013000000000000001,0.006,0.01,0.0
0.0,1.0,2755.73,1166.45,1.24,439.4,-0.042,0.02,170.0,0.013999999999999999,1.0,582590.6,5471.95,3.4299999999999995e-10,8.26e-13,23.663,99.999,0.003,1.28,415.0,-0.046,0.023,0.013999999999999999,0.0,79634.4,1259.0,4.14e-10,2.99e-12,23.458000000000002,99.999,0.008,1.05,138.6,-0.025,0.011000000000000001,0.011000000000000001,0.0
0.0,1.0,4042.49,3352.16,1.17,416.6,-0.044000000000000004,0.017,65.0,0.07400000000000001,1.0,567126.8,7135.85,3.39e-10,8.49e-13,23.675,99.999,0.003,1.23,399.1,-0.051,0.025,0.076,0.0,67847.9,1679.23,3.5299999999999997e-10,3.03e-12,23.629,99.999,0.009000000000000001,0.96,116.5,-0.013000000000000001,-0.016,0.065,0.0
0.0,1.0,3116.03,2769.39,1.73,355.3,-0.135,0.16699999999999998,115.0,0.084,1.0,527480.6,13169.88,3.12e-10,8.99e-13,23.764,99.999,0.003,1.77,347.1,-0.135,0.162,0.084,0.0,61503.5,3316.83,3.2000000000000003e-10,4.73e-12,23.738000000000003,99.999,0.016,1.4,67.6,-0.125,0.207,0.087,0.0
0.0,1.0,3139.9,2204.35,1.27,400.8,-0.063,0.022000000000000002,120.0,0.034,1.0,550289.1,9634.89,3.2399999999999997e-10,8.57e-13,23.724,99.999,0.003,1.36,377.8,-0.07,0.022000000000000002,0.033,0.0,77177.4,2433.5,4.0099999999999996e-10,3.22e-12,23.491999999999997,99.999,0.009000000000000001,0.98,124.5,-0.035,0.022000000000000002,0.038,0.0
0.0,1.0,3589.15,1707.0,1.32,396.0,-0.054000000000000006,0.049,85.0,0.098,1.0,548928.5,9384.7,3.23e-10,8.540000000000002e-13,23.726999999999997,99.999,0.003,1.38,378.1,-0.055999999999999994,0.040999999999999995,0.077,0.0,71654.3,2092.52,3.7199999999999996e-10,3.19e-12,23.573,99.999,0.009000000000000001,1.12,116.8,-0.05,0.08199999999999999,0.188,0.0
0.0,1.0,2802.12,2937.35,1.14,400.2,0.006,0.019,80.0,0.02,1.0,475220.7,9365.85,2.83e-10,8.09e-13,23.87,99.999,0.003,1.2,350.0,0.005,0.022000000000000002,0.017,0.0,150795.2,2220.91,7.85e-10,4.07e-12,22.761999999999997,99.999,0.006,0.95,193.1,0.009000000000000001,0.006999999999999999,0.028999999999999998,0.0
0.0,1.0,2767.17,1108.84,1.12,419.2,-0.027999999999999997,0.018000000000000002,160.0,0.002,1.0,505124.3,5274.78,2.97e-10,7.739999999999999e-13,23.818,99.999,0.003,1.15,383.9,-0.031,0.019,0.002,0.0,108533.0,1201.09,5.64e-10,3.41e-12,23.122,99.999,0.006999999999999999,0.97,165.5,-0.02,0.013999999999999999,0.001,0.0
