galaxy,gal_ra,gal_dec,eddtip,EBV,A555/606,A814,field,fd_ra,fd_dec,filter,inc,pos_ang,dist2nuc,int_ext
M101,210.80227,54.34895,25.08,0.0074,0.016909,0.0110038,M101,210.8283333,54.1558333,F606W,8.0,29.0,22.540055758382515,0.010725079163246684
M66,170.06235,12.99154,26.32,0.0287,0.0655795,0.0426769,M66,170.1311667,12.9958361,F606W,57.0,7.0,24.02360675977596,0.01016591790106378
M96,161.69058,11.81994,26.3,0.0217,0.0495845,0.0322679,M96,161.7684484,11.8245514,F606W,47.0,135.0,19.11144099849296,0.012319588739594137
NGC1309,50.52733,-15.40006,,0.0344,0.0922608,0.0511528,NGC1309,50.5220333,-15.3970389,F555W,46.0,175.0,4.872395270317277,0.03883103656447052
NGC1316,50.67383,-37.20823,27.42,0.0179,0.0409015,0.0266173,NGC1316,50.802175,-37.3226694,F606W,44.0,48.0,70.91592730068481,0.0040950377946784204
NGC1365,53.40155,-36.1404,27.43,0.0176,0.040216,0.0261712,NGC1365,53.4642833,-36.2013889,F606W,41.0,50.0,35.76103078634115,0.007278104228687717
NGC1404,54.71633,-35.59439,27.31,0.0097,0.0221645,0.0144239,NGC1404,54.6946799,-35.5678725,F606W,26.0,163.0,10.310771036166622,0.020687982239449107
NGC1448,56.133,-44.64483,27.35,0.012,0.02742,0.017844,NGC1448,56.1107833,-44.60395,F606W,78.0,44.0,63.1693978959077,0.004512913769474777
NGC3021,147.73812,33.55363,,0.0117,0.0313794,0.0173979,NGC3021,147.7527683,33.5562528,F555W,60.0,105.0,7.892399493887002,0.025895665961002443
NGC3370,161.76688,17.27362,,0.0264,0.0708048,0.0392568,NGC3370,161.7825,17.2764722,F555W,56.0,155.0,13.942974427812995,0.016055511013792344
NGC4038,180.47088,-18.86761,27.72,0.0398,0.090943,0.0591826,NGC4038,180.3604633,-18.9892639,F606W,44.0,159.0,81.10335861558856,0.0036583905761011747
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-1,184.8291667,47.3333333,F555W,61.0,160.0,18.48763623849455,0.012667832996417976
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-10,184.6073157,47.2086766,F606W,61.0,160.0,33.15894786321558,0.007754933384590394
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-2,184.672956,47.491544,F555W,61.0,160.0,26.273954241696767,0.009429340654093857
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-3,184.84,47.45,F555W,61.0,160.0,34.809440448443915,0.0074448710398428335
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-4_G1,184.879161,47.353293,F555W,61.0,160.0,29.1592018756835,0.008639152957734977
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-4_G2,184.918385,47.32009,F555W,61.0,160.0,33.0534913558453,0.0077757113335681916
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-5,184.6405942,47.2485588,F606W,61.0,160.0,22.93214725609772,0.010570830968465924
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-6,184.9011597,47.2432783,F606W,61.0,160.0,25.9322454908549,0.009533601405429172
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-7,184.852268,47.3228289,F606W,61.0,160.0,21.559072428559176,0.011133544123779118
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-8,184.9777141,47.2372586,F606W,61.0,160.0,38.86882225695194,0.006786057485185211
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-9,184.9765325,47.3318479,F606W,61.0,160.0,44.32635891733843,0.006076962626597661
NGC4424,186.79838,9.42067,27.05,0.018,0.04113,0.0267659999999999,NGC4424,186.8016554,9.4588787,F606W,65.0,100.0,25.52380879609002,0.009661587454588973
NGC4526,188.51286,7.69952,27.03,0.0191,0.0436435,0.0284017,NGC4526,188.515689,7.7531432,F606W,65.0,113.0,33.81858595595714,0.007627673961692023
NGC4536,188.61271,2.18814,27.03,0.0157,0.0358745,0.0233459,NGC4536,188.588121,2.1447889,F606W,59.0,95.0,25.579509610038826,0.009643911909492767
NGC5584,215.59903,-0.38767,,0.0337,0.0903834,0.0501119,NGC5584,215.5998908,-0.389765,F555W,53.0,30.0,1.6170878149124068,0.098072324007725
NGC5643,218.16977,-44.17441,26.7,0.1451,0.3315535,0.2157637,NGC5643,218.1421105,-44.1149907,F606W,48.0,88.0,19.844198285426135,0.011936321452192547
NGC7814,0.81204,16.14542,26.81,0.0383,0.0875155,0.0569521,NGC7814,0.8139428,16.0714879,F606W,60.0,135.0,28.834138259525535,0.008720890518488962
